Название опоры;Вес, кг;Источник
ОПХ2-100.57;1,7;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.76;1,9;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.89;2,9;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.108;3,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.114;3,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.133;4,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.159;5,5;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.165;5,5;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.194;7,8;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.219;8,9;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.273;13,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.325;20,1;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.377;22,8;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.426;25,1;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.480;29,1;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.530;31,9;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-100.630;50,5;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.57;2;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.76;2,1;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.89;2,3;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.108;4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.114;4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.133;5;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.159;6,3;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.165;6,3;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.194;8,6;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.219;10,2;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.273;14,3;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.325;21,8;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.377;24,1;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.426;29,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.480;32,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.530;35,4;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
ОПХ2-150.630;55,6;ДЕТАЛЬНЕФТЕХИМ ГОСТ 14911-82
