Название опоры;Вес, кг;Источник
Пружина 01 ОСТ 24.125.109-01;2,40;opora-trub.ru ОСТ 24.125.109-01
Пружина 02 ОСТ 24.125.109-01;3,20;opora-trub.ru ОСТ 24.125.109-01
Пружина 03 ОСТ 24.125.109-01;6,40;opora-trub.ru ОСТ 24.125.109-01
Пружина 04 ОСТ 24.125.109-01;8,30;opora-trub.ru ОСТ 24.125.109-01
Пружина 05 ОСТ 24.125.109-01;10,40;opora-trub.ru ОСТ 24.125.109-01
Пружина 06 ОСТ 24.125.109-01;12,70;opora-trub.ru ОСТ 24.125.109-01
Пружина 07 ОСТ 24.125.109-01;16,90;opora-trub.ru ОСТ 24.125.109-01
Пружина 08 ОСТ 24.125.109-01;22,80;opora-trub.ru ОСТ 24.125.109-01
Пружина 09 ОСТ 24.125.109-01;37,20;opora-trub.ru ОСТ 24.125.109-01
Пружина 10 ОСТ 24.125.109-01;42,60;opora-trub.ru ОСТ 24.125.109-01
Пружина 11 ОСТ 24.125.109-01;48,30;opora-trub.ru ОСТ 24.125.109-01
Пружина 12 ОСТ 24.125.109-01;57,50;opora-trub.ru ОСТ 24.125.109-01
Пружина 21 ОСТ 24.125.109-01;1,40;opora-trub.ru ОСТ 24.125.109-01
Пружина 22 ОСТ 24.125.109-01;1,90;opora-trub.ru ОСТ 24.125.109-01
Пружина 23 ОСТ 24.125.109-01;3,90;opora-trub.ru ОСТ 24.125.109-01
Пружина 24 ОСТ 24.125.109-01;4,90;opora-trub.ru ОСТ 24.125.109-01
Пружина 25 ОСТ 24.125.109-01;6,20;opora-trub.ru ОСТ 24.125.109-01
Пружина 26 ОСТ 24.125.109-01;7,60;opora-trub.ru ОСТ 24.125.109-01
Пружина 27 ОСТ 24.125.109-01;9,90;opora-trub.ru ОСТ 24.125.109-01
Пружина 28 ОСТ 24.125.109-01;13,90;opora-trub.ru ОСТ 24.125.109-01
Пружина 29 ОСТ 24.125.109-01;22,00;opora-trub.ru ОСТ 24.125.109-01
Пружина 30 ОСТ 24.125.109-01;25,20;opora-trub.ru ОСТ 24.125.109-01
Пружина 31 ОСТ 24.125.109-01;28,50;opora-trub.ru ОСТ 24.125.109-01
Пружина 32 ОСТ 24.125.109-01;35,10;opora-trub.ru ОСТ 24.125.109-01
