Название опоры;Вес, кг;Источник
57-01;0,8;Промышленные опоры ОСТ 34-10-622-93
76-02;0,9;Промышленные опоры ОСТ 34-10-622-93
89-03;1,0;Промышленные опоры ОСТ 34-10-622-93
108-04;1,4;Промышленные опоры ОСТ 34-10-622-93
133-05;1,7;Промышленные опоры ОСТ 34-10-622-93
159-06;3,4;Промышленные опоры ОСТ 34-10-622-93
219-07;6,0;Промышленные опоры ОСТ 34-10-622-93
219-08;7,0;Промышленные опоры ОСТ 34-10-622-93
273-09;6,2;Промышленные опоры ОСТ 34-10-622-93
273-10;7,2;Промышленные опоры ОСТ 34-10-622-93
325-11;14,9;Промышленные опоры ОСТ 34-10-622-93
325-12;16,7;Промышленные опоры ОСТ 34-10-622-93
377-13;20,6;Промышленные опоры ОСТ 34-10-622-93
377-14;22,9;Промышленные опоры ОСТ 34-10-622-93
426-15;32,7;Промышленные опоры ОСТ 34-10-622-93
426-16;36,4;Промышленные опоры ОСТ 34-10-622-93
530-17;39,0;Промышленные опоры ОСТ 34-10-622-93
530-18;43,6;Промышленные опоры ОСТ 34-10-622-93
