Название опоры;Вес, кг;Источник
Опора 219Т12.22 серия 4.903--10 вып.4;22,3;opora-trub.ru Т12 серия 4.903-10 вып.4
Опора 219Т12.22 серия 4.903--10 вып.4;22,3;zd-ed.ru Т12.22 Дн 219
219Т12.22;22,3;серия 4.903-10 вып.4 Т12
подвижная диэлектр 1020 Т17.40 сер. 4.903-10;123,13;tpoavers.ru серия 4.903-10 Т17
подвижная диэлектр 720 Т17.31 сер. 4.903-10;63,56;tpoavers.ru серия 4.903-10 Т17
1020 Т17.40;123,13;серия 4.903-10 выпуск 5 Т17
720 Т17.31;63,56;серия 4.903-10 выпуск 5 Т17
подвижная диэлектр 159 Т16.01 сер. 4.903-10;7,26;opora-trub.ru Т16.01 194 мм
подвижная диэлектр 57 Т16.01 сер. 4.903-10;2,17;по указанию пользователя
159 Т16.01;7,26;серия 4.903-10 Т16 опора-trub
57 Т16.01;2,17;по указанию пользователя
