Название опоры;Вес, кг;Источник
ТС-626.00.000;3,6;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-001;4,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-002;5,9;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-003;4,7;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-004;5,1;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-005;5,9;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-006;5,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-007;6,2;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-008;7,7;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-009;6,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-010;7,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-011;8,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-012;7,1;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-013;8,1;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-014;9;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-015;8,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-016;9,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-017;10,2;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-018;12,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-019;13,8;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-020;15,2;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-021;13,5;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-022;15,1;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-023;16,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-024;13,6;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-025;16,1;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-026;17,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-027;23,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-028;25,9;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-029;28,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-030;23,7;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-031;25,2;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-032;28,7;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-033;27;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-034;23,5;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-035;32,2;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-036;10,5;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-037;12,3;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-038;14,1;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-039;11,9;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-040;12,8;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-041;15,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-042;12,7;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-043;14,7;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-044;16,4;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-045;19,5;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-046;21,8;Серия 5.903-13 вып. 8-95 (oporamet.ru)
ТС-626.00.000-047;24,2;Серия 5.903-13 вып. 8-95 (oporamet.ru)
