Название опоры;Вес, кг;Источник
ТС-670.00.00;3,8;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-01;4,4;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-02;4;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-03;4,3;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-04;5,5;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-05;6,6;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-06;4,8;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-07;5,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-08;7,1;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-09;6,3;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-10;7,6;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-11;8,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-12;7,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-13;9,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-14;10,5;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-15;10,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-16;12,2;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-17;13,5;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-18;20,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-19;23,7;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-20;26,5;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-21;24,5;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-22;27,4;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-23;30,2;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-24;30,5;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-25;33,9;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-26;37,3;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-27;32,8;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-28;36,2;Серия 5.903-13 вып. 7-95 (oporamet.ru)
ТС-670.00.00-29;39,6;Серия 5.903-13 вып. 7-95 (oporamet.ru)
