отпр. элем.;дет.;КОЛ.;;;;МАССА В КГ;;;марка стали;примечания
отпр. элем.;дет.;т.;н.;сечение;длина;шт.;общ.;элем.;марка стали;примечания
;8;4;;Шайба 24 ГОСТ 11371-78*;;0,053;0,21;;;
;7;8;;Гайка М24.8 ГОСТ 5915-70*;;0,242;1,94;;;
;5;2;;КрГ24;1676;7,06;14,12;;;нар. резьбу, гнуть
;4;1;;305x14;780;19,63;19,63;;;
;3;1;;95x10;328;1,54;1,54;;;гнуть
;2;1;;305x10;590;10,92;10,92;;;гнуть
;1;2;;280x10;810;11,58;23,16;;;гнуть

;8;4;;Шайба 30 ГОСТ 11371-78*;;0,053;0,21;;;
;7;8;;Гайка М30.8 ГОСТ 5915-70*;;0,242;1,94;;;
;5;2;;КрГ30;1676;9,3;18,6;;;нар. резьбу, гнуть
;4;1;;305x14;780;26,14;26,14;;;
;3;1;;95x10;328;2,05;2,05;;;гнуть
;2;1;;305x10;590;14,12;14,12;;;гнуть
;1;2;;280x10;810;15,0;30,0;;;гнуть
