,,,,,,,,,,
,,Лист,,,,,Круг,,Метизы,
поз,имя чертежа,размер дет. (лист),колич дет.,вес 1 дет.,имя дет.,толщ-диам,размер дет. из круга,колич дет. круг,метизы,колич метизов
1,Дн325-08 ОСТ 108.275.30-80,275x215x6,1,"2,8",Основание,6,,,,
2,Дн325-08 ОСТ 108.275.30-80,438x190x6,2,"3,53",Угольник,6,,,,
3,Дн325-08 ОСТ 108.275.30-80,277x75x6,4,"0,83",Ушко,6,,,,
4,Дн325-08 ОСТ 108.275.30-80,422x215x6,1,"4,28",Подушка,6,,,,
5,Дн325-08 ОСТ 108.275.30-80,,2,"3,5",Хомут,—,М24х986,2,,
6,Дн325-08 ОСТ 108.275.30-80,,4,"0,032",Шайба,—,,,Шайба A.24 ГОСТ 11371-78,4
7,Дн325-08 ОСТ 108.275.30-80,,4,"0,11",Гайка,—,,,Гайка M24 ГОСТ 5915-70,4
8,Дн325-08 ОСТ 108.275.30-80,,4,"0,061",Гайка,—,,,Гайка M24 ГОСТ 5916-70,4
1,377-02 ОСТ 108.275.30-80,305x225x6,1,"3,25",Основание,6,,,,
2,377-02 ОСТ 108.275.30-80,477x188x6,2,"3,8",Угольник,6,,,,
3,377-02 ОСТ 108.275.30-80,490x225x6,1,"5,22",Ложемент,6,,,,
4,377-02 ОСТ 108.275.30-80,300x90x6,4,"1,04",Шило,6,,,,
5,377-02 ОСТ 108.275.30-80,,2,"4,04",Хомут,—,М24х1130,2,,
6,377-02 ОСТ 108.275.30-80,,4,"0,032",Шайба,—,,,Шайба A.24 ГОСТ 11371-78,4
7,377-02 ОСТ 108.275.30-80,,4,"0,11",Гайка,—,,,Гайка М24 ГОСТ 5915-70,4
8,377-02 ОСТ 108.275.30-80,,4,"0,061",Гайка,—,,,Гайка М24 ГОСТ 5916-70,4

